Codigo,Departamento,Municipio,Esperanza de vida al nacer,Tasa de alfabetismo en adultos (% de 15+ años),Tasa de Escolaridad (% de 7+ años),Ingreso estimado per capita anual (US$ PPA),Indice de Salud,Indice de Educacion,Indice de Ingreso,IDH 2009,IDH 2002
1207,La Paz,Lauterique,70.73,77.84,41.47,"1,758.03",0.762,0.657,0.478,0.621,0.572
1208,La Paz,Marcala,71.66,87.94,53.24,"2,586.84",0.778,0.764,0.543,0.686,0.631
1209,La Paz,Mercedes de Oriente,70.5,78.73,48.78,"1,587.52",0.758,0.687,0.461,0.622,0.572
1210,La Paz,Opatoro,70.72,80.8,43.62,"1,746.87",0.762,0.684,0.477,0.629,0.58
1211,La Paz,San Antonio del Norte,71.03,86.72,52.23,"1,971.92",0.767,0.752,0.498,0.66,0.614
1212,La Paz,San Jose,70.5,84.5,45.22,"1,594.74",0.758,0.714,0.462,0.63,0.58
1213,La Paz,San Juan,70.98,82.69,47.24,"1,907.29",0.766,0.709,0.492,0.644,0.597
1214,La Paz,San Pedro de Tutule,70.76,82.06,45.12,"1,804.42",0.763,0.697,0.483,0.636,0.581
1215,La Paz,Santa Ana,70.11,72.89,34.96,"1,349.67",0.752,0.602,0.434,0.581,0.533
1216,La Paz,Sant Elena,70.38,76.89,35.66,"1,521.65",0.756,0.631,0.454,0.601,0.553
1217,La Paz,Santa Maria,70.51,83.58,41.17,"1,621.23",0.759,0.694,0.465,0.626,0.576
1218,La Paz,Santiago de Puringla,70.29,76.76,35.91,"1,476.46",0.755,0.631,0.449,0.598,0.547
1219,La Paz,Yarula,70.09,72.08,36.55,"1,314.97",0.752,0.602,0.43,0.58,0.532
1301,Lempira,Gracias,70.94,77.95,46.3,"1,932.51",0.766,0.674,0.494,0.634,0.571
1302,Lempira,Belen,70.3,77.79,40.29,"1,478.35",0.755,0.653,0.45,0.605,0.553
1303,Lempira,Candelaria,70.38,73.14,44.05,"1,509.41",0.756,0.634,0.453,0.601,0.543
1304,Lempira,Cololaca,69.77,60.46,34,"1,194.18",0.746,0.516,0.414,0.542,0.488
1305,Lempira,Erandique,70.29,70.14,39.65,"1,481.99",0.755,0.6,0.45,0.589,0.528
1306,Lempira,Gualcince,69.91,63.36,31.85,"1,258.29",0.749,0.529,0.423,0.551,0.493
1307,Lempira,Guarita,70.18,73.26,41.11,"1,415.92",0.753,0.625,0.442,0.593,0.539
1308,Lempira,La Campa,70.39,83.56,48.17,"1,554.88",0.757,0.718,0.458,0.629,0.58
1309,Lempira,La Iguala,69.99,71.88,31.86,"1,324.67",0.75,0.585,0.431,0.574,0.524
1310,Lempira,Las Flores,71.28,78.99,44.43,"2,270.17",0.771,0.675,0.521,0.647,0.589
1311,Lempira,La Union,70.34,63.92,33.19,"1,515.91",0.756,0.537,0.454,0.569,0.506
1312,Lempira,La Virtud,69.87,68.08,46.23,"1,195.55",0.748,0.608,0.414,0.573,0.509
1313,Lempira,Lepaera,70.37,72.83,39.58,"1,523.64",0.756,0.617,0.455,0.596,0.537
1314,Lempira,Mapulaca,70.39,69.68,39.74,"1,519.42",0.757,0.597,0.454,0.59,0.528
1315,Lempira,Piraera,69.81,67.99,33.15,"1,201.62",0.747,0.564,0.415,0.559,0.506
1316,Lempira,San Andres,69.89,48.13,21.58,"1,251.73",0.748,0.393,0.422,0.499,0.439
1317,Lempira,San Francisco,70.26,76.01,43.11,"1,437.13",0.754,0.65,0.445,0.602,0.542
1318,Lempira,San Juan Guarita,70.18,71.39,42.58,"1,394.85",0.753,0.618,0.44,0.589,0.533
1319,Lempira,San Manuel Colohete,70.02,70.01,35.33,"1,322.83",0.75,0.585,0.431,0.574,0.521
1320,Lempira,San Rafael,70.16,76.35,42.66,"1,408.26",0.753,0.651,0.441,0.6,0.548
1321,Lempira,San Sebastian,69.89,63.41,25.8,"1,277.83",0.748,0.509,0.425,0.545,0.493
1322,Lempira,Santa Cruz,69.98,56.34,23.59,"1,332.33",0.75,0.454,0.432,0.528,0.473
1323,Lempira,Talgua,70.1,75.13,39.75,"1,359.27",0.752,0.633,0.436,0.592,0.54
1324,Lempira,Tambla,70.53,77.02,45.7,"1,636.66",0.759,0.666,0.467,0.618,0.558
1325,Lempira,Tomala,70.26,77.79,40.75,"1,465.58",0.754,0.654,0.448,0.605,0.551
1326,Lempira,Valladolid,70.41,82.71,48.98,"1,534.13",0.757,0.715,0.456,0.627,0.576
1327,Lempira,Virginia,70.48,74.17,39.31,"1,614.30",0.758,0.626,0.464,0.604,0.545
1328,Lempira,San Marcos de Caiquin,70.62,75.91,38.24,"1,746.27",0.76,0.634,0.477,0.613,0.554
1401,Ocotepeque,Ocotepeque,72.11,82.8,54.58,"3,662.96",0.785,0.734,0.601,0.702,0.684
1402,Ocotepeque,Belen Gualcho,70.07,67.98,30.99,"1,572.89",0.751,0.557,0.46,0.577,0.572
1403,Ocotepeque,Concepcion,70.72,72.4,43.55,"2,110.55",0.762,0.628,0.509,0.625,0.615
1404,Ocotepeque,Dolores Merendon,69.12,51.34,27.21,"1,057.19",0.735,0.433,0.394,0.501,0.49
1405,Ocotepeque,Fraternidad,69.94,60.68,27.51,"1,499.64",0.749,0.496,0.452,0.552,0.548
1406,Ocotepeque,La Encarnacion,71.4,74.66,42.06,"2,843.39",0.773,0.638,0.559,0.651,0.637
1407,Ocotepeque,La Labor,70.64,76.92,44.29,"1,991.82",0.761,0.66,0.499,0.63,0.624
1408,Ocotepeque,Lucerna,70.62,74.12,43.7,"2,005.12",0.76,0.64,0.5,0.624,0.619
1409,Ocotepeque,Mercedes,70.13,73.32,36.8,"1,616.65",0.752,0.611,0.464,0.597,0.595
1410,Ocotepeque,San Fernando,70.39,71.07,36.41,"1,808.14",0.757,0.595,0.483,0.601,0.595
1411,Ocotepeque,San Francisco del Valle,70.56,75.79,37.84,"1,944.63",0.759,0.631,0.495,0.619,0.613
1412,Ocotepeque,San Jorge,70.02,66.77,36.9,"1,534.41",0.75,0.568,0.456,0.579,0.575
1413,Ocotepeque,San Marcos,71.31,79.87,45.08,"2,630.11",0.772,0.683,0.546,0.66,0.644
1414,Ocotepeque,Santa Fe,70.79,75.67,45.79,"2,074.68",0.763,0.657,0.506,0.633,0.624
1415,Ocotepeque,Sensenti,70.6,77.61,44.74,"1,999.18",0.76,0.667,0.5,0.633,0.627
1416,Ocotepeque,Sinuapa,71.23,78.22,49.88,"2,622.77",0.771,0.688,0.545,0.661,0.646
1501,Olancho,Juticalpa,73.07,81.64,48.93,"3,685.83",0.801,0.707,0.602,0.699,0.666
1502,Olancho,Campamento,72.7,80.84,49.41,"3,163.66",0.795,0.704,0.577,0.686,0.652
1503,Olancho,Catacamas,72.54,79.91,46.03,"2,943.51",0.792,0.686,0.565,0.675,0.645
