Departamento,Municipio,PN,PINU-SD,DC,PL,UD,Total Marcas
SANTA BARBARA,NARANJITO,12357,522,1227,6451,441,20998
SANTA BARBARA,NUEVO CELILAC,6530,210,217,6768,388,14113
SANTA BARBARA,PETOA,14915,365,258,6649,269,22456
SANTA BARBARA,PROTECCION,10712,360,295,3340,841,15548
SANTA BARBARA,QUIMISTAN,28455,1183,3492,8256,1056,42442
SANTA BARBARA,SAN FRANCISCO DE OJUERA,10238,311,113,5568,321,16551
SANTA BARBARA,SAN LUIS,28536,983,618,20178,1176,51491
SANTA BARBARA,SAN MARCOS,9916,412,221,6144,623,17316
SANTA BARBARA,SAN NICOLAS,10560,315,333,6263,786,18257
SANTA BARBARA,SAN PEDRO DE ZACAPA,16242,353,549,18861,733,36738
SANTA BARBARA,SANTA RITA,3136,174,192,2908,182,6592
SANTA BARBARA,SAN VICENTE CENTENARIO,5018,157,88,3791,305,9359
SANTA BARBARA,TRINIDAD,13963,1053,352,12362,494,28224
SANTA BARBARA,LAS VEGAS,26619,2866,543,11415,5093,46536
SANTA BARBARA,NUEVA FRONTERA,11190,339,662,9361,1544,23096
VALLE,NACAOME,18957,725,832,18948,965,40427
VALLE,ALIANZA,4214,88,26,3233,91,7652
VALLE,AMAPALA,4963,444,126,5388,341,11262
VALLE,ARAMECINA,4111,84,7,2992,81,7275
VALLE,CARIDAD,2815,55,13,1299,61,4243
VALLE,GOASCORAN,7147,142,77,5750,158,13274
VALLE,LANGUE,11224,360,49,6550,532,18715
VALLE,SAN FRANCISCO DE CORAY,6223,163,18,5089,197,11690
VALLE,SAN LORENZO,17523,1271,712,15123,673,35302
YORO,YORO,43931,1540,1985,25499,3365,76320
YORO,ARENAL,10220,409,136,5493,346,16604
YORO,EL NEGRITO,26393,881,3133,8825,984,40216
YORO,EL PROGRESO,86355,12168,17678,107236,13059,236496
YORO,JOCON,13810,459,477,15476,509,30731
YORO,MORAZAN,30655,697,977,17902,1456,51687
YORO,OLANCHITO,52632,1581,1791,37365,3756,97125
YORO,SANTA RITA,11678,3814,1431,13649,1297,31869
YORO,SULACO,12699,500,96,12332,9994,35621
YORO,VICTORIA,20210,667,241,15018,839,36975
YORO,YORITO,15155,485,1016,12711,776,30143
