CODIGO,NUM.HOGARES,COC.PIEZA,COC.LENA,COC.CHIMBO,COC.ELEC,SAN.ALC,SAN.FOSA,SAN.LETR,AUTO.UNO,AUTO.UNOPLUS,AUTO.NO,ELDOM.REFRI,ELDOM.LAVAD,ELDOM.SONI,ELDOM.AC,ELDOM.COMPU,ELDOM.MICRO,SERV.CABLE,SERV.INTERNET,ALUMB.SPUB,ALUMB.SPRI,ALUMB.GEN,ALUMB.CANDIL,ALUMB.VELA,ALUMB.OCOT,ALUMB.SOLAR,AGUA.TUBE.DENTRO,AGUA.TUBE.DENTRO2,AGUA.FUERA,AGUA.NONTUBE,AS.SPUB,AS.SPRI,AS.POMA,AS.POBO,AS.CDA,AS.LAG,AS.VEN,AS.OTRO,NBI0,NBI1,NBI2,NBI3,NBI4,NBI.NNM,NBI.SSAG,NBI.SSAN,NBI.SSUB,NBI.HACI,NBI.VME
203,4612.27,3913.23,3773.91,497.6,8.67,48.04,2726.21,971.54,307.22,45.66,4175.77,617.66,36.88,2270.92,42.62,186.1,25.72,425.56,25.22,128,457,388,1416,706,84,1168,1419,1814,234,881,1350,1994,239,148,528,24,1,64,1845,1077,666,490,269,367,617,1188,1263,411,8
204,2778.8,2107.13,2108.16,531.44,20.61,85.18,1725.37,796.98,211.34,21.35,2545,1250.08,560.14,1785.15,507.32,121.57,662.19,1109.54,30.17,1580,30,17,690,279,73,83,1273,714,101,663,1280,748,261,63,282,10,2,106,739,917,480,355,259,234,550,725,1195,415,239
205,1356.97,1197.94,650.44,582.86,59.54,10.46,1153.71,60.56,65.14,7.11,1260.31,689.53,71.8,782.18,75.9,126.81,340.71,606.86,31.85,796,139,5,183,159,0,37,738,503,4,75,960,285,20,1,37,0,2,15,607,548,95,43,26,22,54,109,563,119,0
206,1432.81,1293.41,850.63,515.02,33.93,1.32,979.92,185.82,42.92,6,1372.77,749.58,71.68,679.02,69.95,120.48,301.72,749.04,25.85,1075,4,3,85,224,0,22,202,136,46,1029,133,151,30,952,20,0,3,123,379,530,213,173,117,75,441,340,598,96,111
207,9732.81,7252.36,5959.22,3031.02,211.2,2444.04,5693.57,930.69,1224.04,142.1,8325.89,6062.52,1215.99,5523.4,728.23,1362.48,2396.09,4477.66,509.46,7811,103,13,548,915,9,54,4147,3810,426,1069,4411,3574,139,780,292,16,10,230,4726,3083,975,434,234,449,719,904,3380,910,83
208,6753.84,5485.05,3046.34,3287.19,125.08,1630.72,4110.64,676.57,1014.49,141.24,5577.02,4951.98,948.98,4136.06,724.37,1256.9,2367.06,4597.12,463.01,6016,186,1,143,205,10,10,4280,1826,27,438,1270,4688,30,351,139,22,0,72,3307,2096,637,318,213,231,509,742,2185,700,164
209,19785.86,15217.75,8754.71,9320.51,613.74,1398.94,15449.76,2315.97,3010.18,471.35,16272,14420.34,2772.26,12217.04,1931.7,3209.63,7778.43,13446.22,1036.23,16418,309,48,1455,1066,91,72,13178,4450,362,1470,11969,5914,624,157,545,9,78,164,9835,5796,2021,1045,762,877,1177,2296,6450,2569,669
210,6021.61,4016.14,4360.9,1307.87,103.19,155.51,3759.11,1626.38,705.81,114.22,5199.43,3260.18,971.11,3157.77,479.05,917.96,1329.07,2947.8,388.85,3534,624,16,657,867,44,138,2389,2555,207,730,1147,3958,232,79,242,10,11,200,2162,1473,914,789,543,365,635,1822,2148,911,357
301,31792.97,24267.8,17406.07,2189.65,10234.88,15993.1,5114.65,8002.26,5233.84,1061.56,25415.76,20870.84,7425.12,24134.41,3809.71,9426.46,13483.28,15107.12,5955.22,24784,243,51,1875,2314,1421,161,20726,5179,923,4020,18696,7646,1572,767,1242,40,117,770,14117,7260,3921,3044,2507,1551,3714,7811,8987,3335,2034
302,2592.54,2139.4,2113.23,56.8,366.09,39.42,1872.76,525.31,486.03,88.91,2013.58,1545.84,284.51,1798.49,76.95,455.27,805.98,931.76,150.75,2243,24,2,131,106,43,4,1329,870,123,229,1531,755,46,64,48,3,21,85,1342,726,244,168,71,62,181,363,801,80,169
