Departamento,Municipio,PL,PN,Alianza,DC,UD,PAC,APH,FA,VAMOS
Olancho,Silca,183,2171,2240,3,4,3,5,1,3
Olancho,Yocón,753,2218,1629,9,14,5,24,15,1
Santa Bárbara,Arada,93,3425,3389,3,3,3,2,2,6
Santa Bárbara,Atima,193,4354,3890,3,12,2,2,10,8
Santa Bárbara,Azacualpa,276,3483,4167,10,11,4,5,20,9
Santa Bárbara,Ceguaca,67,1613,1824,2,2,0,1,3,3
Santa Bárbara,Chinda,180,1608,1229,0,5,5,0,2,0
Santa Bárbara,Concepción del Norte,391,2906,2215,4,8,5,3,2,6
Santa Bárbara,Concepción del Sur,683,1620,1978,5,3,2,1,6,4
Santa Bárbara,El Nispero,177,2246,2776,2,6,4,3,3,10
Santa Bárbara,Gualala,721,804,1962,1,3,3,5,1,2
Santa Bárbara,Ilama,288,2793,1493,1,3,4,3,2,3
Santa Bárbara,Las Vegas,701,5030,5650,10,11,12,5,8,9
Santa Bárbara,Macuelizo,421,5648,7752,7,15,26,13,16,12
Santa Bárbara,Naranjito,191,2517,1633,2,8,0,3,6,6
Santa Bárbara,Nueva Frontera,235,2994,3644,4,14,3,7,11,6
Santa Bárbara,Nuevo Celilac,296,1754,1688,3,2,6,5,4,5
Santa Bárbara,Petoa,445,2831,2730,2,4,4,1,1,5
Santa Bárbara,Protección,388,2763,1748,9,9,8,15,2,3
Santa Bárbara,Quimistán,959,7457,7042,13,35,11,15,13,9
Santa Bárbara,San Francisco de Ojuera,370,2416,1037,2,3,3,3,0,4
Santa Bárbara,San José de Colinas,433,5322,5795,10,7,5,5,6,7
Santa Bárbara,San Luis,436,6354,5695,5,16,5,14,18,10
Santa Bárbara,San Marcos,660,2582,3488,14,13,4,12,6,7
Santa Bárbara,San Nicolás,388,3586,3827,2,10,3,3,1,8
Santa Bárbara,San Pedro Zacapa,304,3973,3215,2,6,4,3,0,2
Santa Bárbara,San Vicente Centenario,223,822,1241,1,0,7,2,3,3
Santa Bárbara,Santa Bárbara,568,9585,11371,22,17,32,6,10,39
Santa Bárbara,Santa Rita,51,1375,765,1,3,5,3,0,2
Santa Bárbara,Trinidad,601,4344,4891,5,9,32,5,6,4
Valle,Alianza,1449,1841,1216,3,5,5,3,3,0
Valle,Amapala,2764,3047,1749,4,2,3,5,2,4
Valle,Aramecina,949,1737,966,1,2,3,6,0,2
Valle,Caridad,420,1125,596,0,0,1,2,0,0
Valle,Goascorán,1363,3472,2912,6,4,4,8,2,3
Valle,Langue,2218,4635,3979,5,10,11,9,6,3
Valle,Nacaome,6432,10367,9051,71,18,18,30,6,3
Valle,San Francisco de Coray,616,2613,2448,14,11,3,2,13,11
Valle,San Lorenzo,3096,8163,9019,15,10,10,28,10,13
Yoro,Arenal,72,1914,1987,44,7,5,8,1,3
Yoro,El Negrito,1077,5701,8028,29,19,28,9,7,9
Yoro,El Progreso,9894,16748,38150,80,131,147,80,36,34
Yoro,Jocón,1443,2335,1105,9,2,2,11,1,5
Yoro,Morazán,2518,7756,5220,12,17,12,17,4,10
Yoro,Olanchito,2173,14917,19175,40,65,17,29,18,16
Yoro,Santa Rita,972,4573,5965,4,9,9,7,4,4
Yoro,Sulaco,1277,3435,2646,6,9,40,5,5,4
Yoro,Victoria,2387,5056,2887,15,7,7,12,12,6
Yoro,Yorito,1580,3961,1646,9,17,12,10,7,6
Yoro,Yoro,2773,13145,9122,77,64,104,50,26,21
