Departamento,Municipio,Liberal,Nacional,Libre-PINU,Democrata Cristiano,UD,PAC,Alianza Patriotica,Frente Amplio,VAMOS
Santa Barbara,TRINIDAD,601,4344,4891,5,9,32,5,6,4
Santa Barbara,LAS VEGAS,701,5030,5650,10,11,12,5,8,9
Santa Barbara,NUEVA FRONTERA,235,2994,3644,4,14,3,7,11,6
Valle,NACAOME,6432,10367,9051,71,18,18,30,6,3
Valle,ALIANZA,1449,1841,1216,3,5,5,3,3,0
Valle,AMAPALA,2764,3047,1749,4,2,3,5,2,4
Valle,ARAMECINA,949,1737,966,1,2,3,6,0,2
Valle,CARIDAD,420,1125,596,0,0,1,2,0,0
Valle,GOASCORAN,1363,3472,2912,6,4,4,8,2,3
Valle,LANGUE,2218,4635,3979,5,10,11,9,6,3
Valle,SAN FRANCISCO DE CORAY,616,2613,2448,14,11,3,2,13,11
Valle,SAN LORENZO,3096,8163,9019,15,10,10,28,10,13
Yoro,YORO,2773,13145,9122,77,64,104,50,26,21
Yoro,ARENAL,72,1914,1987,44,7,5,8,1,3
Yoro,EL NEGRITO,1077,5701,8028,29,19,28,9,7,9
Yoro,EL PROGRESO,9894,16748,38150,80,131,147,80,36,34
Yoro,JOCON,1443,2335,1105,9,2,2,11,1,5
Yoro,MORAZAN,2518,7756,5220,12,17,12,17,4,10
Yoro,OLANCHITO,2173,14917,19175,40,65,17,29,18,16
Yoro,SANTA RITA,972,4573,5965,4,9,9,7,4,4
Yoro,SULACO,1277,3435,2646,6,9,40,5,5,4
Yoro,VICTORIA,2387,5056,2887,15,7,7,12,12,6
Yoro,YORITO,1580,3961,1646,9,17,12,10,7,6
Estados Unidos,HOUSTON,18,108,246,2,1,1,2,1,0
Estados Unidos,LOS ANGELES,25,171,229,2,1,0,2,0,0
Estados Unidos,MIAMI,74,304,311,1,0,0,3,0,1
Estados Unidos,NEW ORLEANS,22,75,179,0,0,0,4,0,0
Estados Unidos,NEW YORK,31,90,184,1,2,17,7,0,0
Estados Unidos,WASHINGTON,23,129,173,1,0,0,3,1,0
Estados Unidos,ATLANTA,6,14,54,0,0,0,2,0,0
